file_name,N_m,NSE_m,RMSE_M,algo_m,m_poly_p1,m_poly_p2,m_poly_p3,m_n3_p1,m_n3_p2,N_nm,NSE_nm,RMSE_nM,algo_nm,nm_poly_p1,nm_poly_p2,nm_poly_p3,nm_n3_p1,nm_n3_p2,name,lat,lon
df_st_ADDOOR.xlsx,1481,0.9096600165203872,50.29189933445964,1,13.209993499498477,87.65794478255759,-45.461080940176004,,,742,0.780020591800626,29.400986602933155,1,33.83189621046613,0.1904459614445535,10.230089017916754,,,ADDOOR,12.92888888888889,74.9538888888889
df_st_Adityapur.xlsx,2318,0.9230557457298971,113.9055588304099,1,38.69417709245166,-9586.995118468189,593807.7384688281,,,4652,0.8258710886930845,29.060722764789737,1,13.772736917178646,-3358.7722936484984,204692.60026458107,,,Adityapur,22.79138888888889,86.17361111111111
df_st_AKKIHEBBAL.xlsx,1921,0.9398535101147479,33.21513147936483,1,51.53532007016866,-76943.25996088023,28719447.144855738,,,3876,0.9186116158972193,9.791570849552745,1,49.599548992414306,-74060.9743597609,27646558.749444902,,,AKKIHEBBAL,12.59861111111111,76.40055555555556
df_st_Alladupalli.xlsx,1474,0.8757955489554688,63.032477916341044,1,43.15467843979706,-11523.713045146518,769301.7444816838,,,3066,0.9022255856830577,44.82493903489116,1,42.399150029984085,-11311.985460191821,754499.4049777833,,,Alladupalli,14.71722222222222,78.66861111111112
df_st_Altuma.xlsx,2305,0.8865473054536623,28.538141910543104,1,52.22159585111527,-4778.018146200077,109294.99434965294,,,4622,0.8135523799906068,11.325529356376592,1,60.698772465680356,-5564.904747402643,127546.71556720509,,,Altuma,20.93083333333334,85.51916666666666
df_st_AMBARAMPALAYAM.xlsx,2197,0.9806149419925291,0.9548208560896871,2,,,,16.167961157064028,218.73194708549005,4482,0.9662275563201103,2.0555850561872933,1,46.397145326724846,-20337.620806086514,2228688.565785018,,,AMBARAMPALAYAM,10.63138888888889,76.94611111111111
df_st_Andhiyar_Khore.xlsx,1882,0.9058462206020301,12.825789228048004,1,18.965697386216025,-9605.80445690966,1216287.9502913835,,,3372,0.8527195954777412,4.270203330819975,1,19.368564074651555,-9812.19030218423,1242718.8281822214,,,Andhiyar Khore,21.83388888888889,81.5975
df_st_Anjanari.xlsx,314,0.8872677860766669,42.17286374871106,1,42.06842422999157,-986.2423270712335,5773.430701722575,,,119,0.9473019853315093,4.203482821215666,2,,,,6.752145293113986,11.118886702420884,Anjanari,16.93472222222222,73.51416666666667
df_st_ARANGALI.xlsx,2246,0.9218435474035336,42.101635832700396,1,18.509615249231683,56.178606567695724,15.366689793088,,,4756,0.8944339746514641,38.071304976576656,1,17.482037611475146,67.76650047721202,-11.199315810231203,,,ARANGALI,10.28611111111111,76.32222222222222
df_st_Arjunwad__Seasonal_.xlsx,1807,0.9762561923661599,172.50143087625915,2,,,,0.7479407485963706,520.8549311340054,358,0.8736609480241827,63.697918682812485,2,,,,2.3828496379979076,523.7156794361143,Arjunwad (Seasonal),16.78194444444444,74.63222222222221
df_st_Ashti.xlsx,2196,0.9847996459910671,337.70718315134326,1,175.184238437559,-50069.46288065691,3577575.471498053,,,4608,0.9765991383773195,43.45933620347851,2,,,,21.840188640038964,141.79133078672652,Ashti,19.68472222222222,79.78861111111111
df_st_AVERSHE.xlsx,1409,0.9770851234024839,14.419411432629452,1,27.251111200204534,-570.167784885657,2946.344834335161,,,1842,0.9874783735228625,1.9185545258777186,1,48.10980285106572,-1085.124651050901,6119.2692039826225,,,AVERSHE,13.52138888888889,74.88
df_st_Badlapur.xlsx,316,0.8926847931101898,139.09751820276932,2,,,,9.646227328855048,8.8392760157218,255,0.819841688421385,19.345031687758148,1,76.45370779771507,-1512.0189494306464,7475.557970736503,,,Badlapur,19.16222222222222,73.25416666666666
df_st_Bamni.xlsx,3409,0.6911120856499482,35.07162687634428,1,40.71249149739228,-35870.52850361873,7901116.280101925,,,867,0.9486203196034151,5.838699796829336,1,41.64693774191584,-36704.35485158913,8087084.026545225,,,Bamni,22.48416666666667,80.36194444444443
df_st_Bamnidhi.xlsx,2318,0.9580545768660561,92.47537577917872,2,,,,68.72463835192552,223.99804380590442,4687,0.8367562962062378,21.1933711781482,2,,,,66.54457899379727,224.01267570697087,Bamnidhi,21.90861111111111,82.71361111111112
df_st_BANTWAL.xlsx,2175,0.9147990213801144,205.0790461778179,1,36.72436314335554,123.2887930386555,-409.47375264472004,,,3522,0.8744066445242552,230.67727484807438,1,48.2510140180106,-0.8174769775602295,-154.51015342091188,,,BANTWAL,12.88083333333333,75.0411111111111
df_st_Barmanghat.xlsx,2089,0.9918879226771359,101.59052381612247,1,38.34131959419413,-23547.103756097462,3615383.4209970683,,,4354,0.8863641340456523,44.70525725205748,1,32.755936437100516,-20086.033948268392,3079216.2767998213,,,Barmanghat,23.03055555555556,79.01527777777778
df_st_Baronda.xlsx,1858,0.927014681862641,92.07821116772523,2,,,,31.93640931179313,283.2864746222223,2233,0.8932051953737256,11.729372381141982,1,208.89454936328724,-118701.7685980676,16862706.54637895,,,Baronda,20.91,81.88805555555557
df_st_Basantpur.xlsx,2074,0.7229490594526347,22.45576230788456,2,,,,94.00788965760486,207.98106340205933,4182,0.9834243170721327,73.74415256589205,1,183.79384190774846,-76526.24868307807,7965804.804860113,,,Basantpur,21.7275,82.78805555555556
df_st_Bawapuram.xlsx,1928,0.9539258215683338,177.8460785340157,1,152.64114317227177,-82697.58009207621,11200921.210153276,,,3582,0.9630420867773121,52.36838531486737,2,,,,17.466343046912847,269.8718590660548,Bawapuram,15.8825,77.95722222222223
df_st_Belkhedi.xlsx,2274,0.6322494326605717,143.88840643108193,1,26.380139005437428,-17941.545004866264,3050545.4669914157,,,4343,0.9584843240243228,1.3096574329240127,1,47.114079961624405,-32133.560180351167,5479072.1007503765,,,Belkhedi,22.92777777777778,79.33972222222222
df_st_Belne_Bridge.xlsx,259,0.9146136284631845,45.1845047669325,1,20.84499910484354,-409.50209950809597,2011.3439158868557,,,165,0.8922118434775169,7.96923085995031,1,16.960921507924546,-331.9423313974129,1626.670356738021,,,Belne Bridge,16.22083333333333,73.59472222222222
df_st_Bhadrachalam.xlsx,378,0.9890054365865626,598.7865591514379,1,173.87151729167093,-11611.249853145708,193835.93206016303,,,966,0.9253562913412882,1147.436147802079,1,179.92820027946962,-12175.978482094157,206125.58096417933,,,Bhadrachalam,17.66944444444444,80.87388888888889
df_st_Bhatpalli.xlsx,2196,0.9147955228776612,70.0573543007355,2,,,,9.946762050706441,157.70708426958836,4444,0.7798758241407535,13.566037155866528,1,80.73964278417203,-25638.128352358442,2035288.736405893,,,Bhatpalli,19.32972222222222,79.50416666666666
